contributor_id,count_contributor,name,slug,show,created_at,updated_at
1,11968.0,editor,editor,1,2019-11-10 14:39:28,2021-05-09 10:01:41
2,,Editor,editor,0,2019-11-10 14:39:49,2021-05-05 11:16:29
3,,Editor,editor,0,2019-12-29 22:06:49,2019-12-29 22:06:49
4,,Editor,editor,0,2019-12-29 22:07:27,2019-12-29 22:07:27
5,215.0,Penerjemah,penerjemah,1,2020-03-02 08:06:44,2021-05-05 10:24:27
6,1689.0,ilustrator,ilustrator,1,2020-03-02 08:07:42,2021-06-02 14:28:31
7,2707.0,Penyunting,penyunting,1,2020-03-02 08:44:30,2021-05-05 11:27:59
8,36.0,tim Penyusun,tim-penyusun,0,2020-03-02 08:48:04,2021-08-10 15:13:11
9,227.0,Desain Cover,desain-cover,0,2020-03-02 08:55:18,2020-03-02 08:55:18
10,,Tim Produksi,tim-produksi,0,2020-03-02 08:57:36,2020-03-02 08:57:36
11,,Sutradara,sutradara,1,2020-03-06 09:29:47,2021-05-05 10:24:10
12,,Pemeran / Artis,pemeran-artis,1,2020-03-06 09:31:35,2021-05-05 10:24:07
13,,Produser,produser,1,2020-03-06 09:32:32,2021-05-05 10:24:04
14,,Penata Musik,penata-musik,1,2020-03-06 09:32:53,2021-05-05 10:24:00
15,,Sinematografi,sinematografi,1,2020-03-06 09:34:29,2021-05-05 10:23:56
16,,Editor Film,editor-film,1,2020-03-06 09:35:10,2021-05-05 10:23:43
17,,Casting,casting,1,2020-03-06 09:35:32,2021-05-05 10:23:39
18,,Desain Produksi,desain-produksi,1,2020-03-06 09:36:05,2021-05-05 10:23:35
19,,Art Director,art-director,1,2020-03-06 09:37:22,2021-05-05 10:23:32
20,,Dekorasi,dekorasi,1,2020-03-06 09:37:54,2021-05-05 10:23:29
21,,Kostum,kostum,1,2020-03-06 09:38:16,2021-05-05 10:23:24
22,,Penata Rias,penata-rias,1,2020-03-06 09:38:54,2021-05-05 10:23:21
23,,Penata Suara,penata-suara,1,2020-03-06 09:39:35,2021-05-05 10:23:17
24,,Special Effect / Visual Effect,special-effect-visual-effect,1,2020-03-06 09:40:55,2021-05-05 10:23:13
25,,Animator,animator,1,2020-03-06 09:41:52,2021-05-05 10:23:10
26,,Pemeran Pengganti,pemeran-pengganti,0,2020-03-06 09:42:18,2020-03-06 09:42:18
27,,Pengisi Suara,pengisi-suara,0,2020-03-06 09:42:50,2020-03-06 09:42:50
28,,Figuran,figuran,0,2020-03-06 09:43:47,2020-03-06 09:43:47
29,,Juru Kamera,juru-kamera,0,2020-03-06 09:45:01,2020-03-06 09:45:01
30,,Penulis Script / Skenario,penulis-script-skenario,0,2020-03-06 09:45:47,2020-03-06 09:45:47
31,,Properti,properti,0,2020-03-06 09:46:20,2020-03-06 09:46:20
32,,Koreografer,koreografer,0,2020-03-06 09:47:51,2020-03-06 09:47:51
33,,Sound Engineer,sound-engineer,0,2020-03-06 09:49:44,2020-03-06 09:49:44
34,,Lighting Engineer,lighting-engineer,0,2020-03-06 09:51:09,2020-03-06 09:51:09
35,,Teknisi,teknisi,0,2020-03-06 09:51:47,2020-03-06 09:51:47
