id,organization_id,province_id,city_id,district_id,village_id,photo,contact,fax,name,name_change,phone,website,address,postal_code,type,system_type,code_system,birth_certificate,statement_letter,status,created_at,updated_at,deleted_at,Golongan
1,,31.0,3173.0,3173020.0,3173020003.0,,Admin,,DEPOSIT PERPUSNAS,,,,Gedung Deputi I Blok E Lantai 7 Jl. Salemba Raya 22A,,2.0,edep,,publish/files/akta/admin-akta.pdf,publish/files/akta/admin-pernyataan.pdf,2,2018-11-19 08:13:44,2021-07-13 16:46:23,2021-07-13 16:46:23,3
3,1.0,94.0,9427.0,9427010.0,9427010007.0,,User book,-,USER BOOK,,-,,Jl. Kebun Jeruk Raya Gedung Pos Jaya,,1.0,edep,,publish/files/akta/user-akta.pdf,publish/files/akta/user-pernyataan.pdf,2,2018-11-26 13:14:40,2021-05-27 12:48:24,,2
6,,31.0,3173.0,3173030.0,3173030005.0,,"Dra. Hj. Sri Sularsih, MSi",,PERPUSTAKAAN NASIONAL RI,,622192920979,,Gedung Perpustakaan Nasional RI Jl. Salemba Raya 28 A,,1.0,isbn,512000408.0,,,2,2019-03-24 22:14:17,2019-03-25 08:19:06,,2
7,,31.0,3174.0,3174030.0,3174030001.0,,Budi Arini,,PT. GRAMEDIA PUSTAKA UTAMA,,212153650110,,"Gedung Kompas Gramedia Jalan Palmerah Barat Rt 1/rw 2 Gelora, Tanah Abang",,1.0,isbn,1013000045.0,,,2,2019-03-24 22:14:35,2020-03-02 14:47:50,,1
8,,31.0,3171.0,3171030.0,3171030001.0,,Ir Eko Madi Parmanto,,BATAN PRESS (BADAN TENAGA NUKLIR NASIONAL PRESS),,(021)7659401,,Gedung Perasten Jl. Lebak Bulus Raya No.49,,1.0,isbn,113000273.0,,,2,2019-03-25 08:41:28,2020-03-04 09:56:18,,2
9,,,,,,,Kartini Nurdin,,YAYASAN PUSTAKA OBOR INDONESIA,,2131926978,,Rumah Obor Jl. Plaju No.10,,1.0,isbn,1215000038.0,,,2,2019-03-25 08:46:50,2019-03-25 17:25:05,,2
10,,,,,,,Al. Arisubagijo,,PT ELEX MEDIA KOMPUTINDO,,(+62) 2153650110,,Kompas Gramedia Palmerah Barat No. 29-37 Lt.2 Tower 1,,1.0,isbn,1012000103.0,,,2,2019-03-25 09:12:20,2019-03-25 09:12:20,,1
11,,31.0,3174.0,3174030.0,3174030001.0,,Noni MT,,PT. BHUANA ILMU POPULER (BIP),,2153677834,,Gedung Kompas Gramedia lt. 2 Jl. Palmerah Barat 29-37,,1.0,isbn,512000298.0,,,2,2019-03-25 09:19:54,2020-03-31 15:59:33,,1
12,,,,,,,Andriyati,,REPUBLIKA PENERBIT,,(+62) 217819127,," Kav. Polri Blok I No. 65, Jagakarsa",,1.0,isbn,912000067.0,,,2,2019-03-25 09:27:20,2019-03-25 09:27:20,,2
13,,,,,,,Syahruddin El-Fikri,,BUKU REPUBLIKA,,217819127,," PT. Pustaka Abdi Bangsa (Republika Penerbit) Kav. Polri Blok i No. 65, Jagakarsa",,1.0,isbn,112000528.0,,,2,2019-03-25 09:28:42,2019-03-25 09:28:42,,2
14,,,,,,,Andriyati,,MAHAKA PUBLISHING,,(+62) 217819127,," Kav. Polri Blok I No. 65, Jagakarsa",,1.0,isbn,112002560.0,,,2,2019-03-25 09:29:45,2019-03-25 09:29:45,,2
15,,31.0,3173.0,3173020.0,3173020001.0,,Anggun Dian Puspita,,UPT BALAI MEDIA DAN REPRODUKSI (LIPI PRESS),,8118612369,,"LIPI Press (Gd. PDDI Lt. 6 LIPI)
Jln. Jenderal Gatot Subroto Kav. 10 Jakarta Selatan",,1.0,isbn,314000134.0,,,2,2019-03-25 10:19:55,2020-07-15 16:39:49,,2
16,,31.0,3173.0,3173010.0,3173010002.0,,Reni Anggraeni,,MEDIANTARA SEMESTA,,57853884,,Jl. Danau Toba No. A/84 Bendungan Hilir,,1.0,isbn,812000090.0,,,2,2019-03-25 11:27:04,2020-10-08 13:06:24,,2
17,,31.0,3171.0,3171010.0,3171010004.0,,Mila,,NOURA BOOKS,,622178880556,,Mizan Publishing Jl. Jagakarsa Raya No. 40,,1.0,isbn,612000321.0,,,2,2019-03-25 11:53:53,2020-03-02 11:30:43,,2
18,,,,,,,Arista Bayu Paramarta,,"KEMENTERIAN RISET, TEKNOLOGI, DAN PENDIDIKAN TINGGI REPUBLIK INDONESIA",,(021)57946100,,"Gedung D Komplek Kemdikbud Jalan Jenderal Sudirman, Pintu Satu Senayan",,1.0,isbn,813000023.0,,,2,2019-03-25 11:54:37,2019-03-25 11:54:37,,2
19,,31.0,3172.0,3172090.0,3172090004.0,,Drs. H. Zubaidi,,PRENADA,,(021)47864657,,Jl. Tambra Raya No. 23 Rawamangun Jakarta Timur,,1.0,isbn,1012000198.0,,,2,2019-03-25 11:57:43,2020-06-02 09:56:02,,2
20,,32.0,3271.0,3271040.0,3271040005.0,,Sambas,,PT PENERBIT IPB PRESS,,2518355158,,Science Park Jl. Taman Kencana No.3 Rt 001 Rw 003 Kel. Babakan Bogor Tengah,,1.0,isbn,412000071.0,,,2,2019-03-25 12:11:55,2019-03-25 12:26:12,,1
21,,31.0,3172.0,3172090.0,3172090004.0,,Drs. H. Zubaidi,,KAKILANGIT KENCANA,,(021)47864657,,Jl. Tambra Raya No. 23 Rawamangun Jakarta Timur,,1.0,isbn,812000179.0,,,2,2019-03-25 12:24:02,2020-06-02 10:06:00,,2
22,,31.0,3172.0,3172020.0,3172020003.0,,Fauzan Rananda,,ERLANGGA,,(+62) 218717006,,Penerbit Erlangga Jl. H. Baping Raya No.100,,1.0,isbn,512000007.0,,,2,2019-03-25 12:30:54,2020-06-26 13:13:45,,2
23,,33.0,3310.0,3310730.0,3310730003.0,,Edy Purwono,,PT. INTAN PARIWARA,,272322441,,Gedung Intan Pariwara Jl. Ki Hajar Dewantoro,,1.0,isbn,412000081.0,,,2,2019-03-25 13:11:06,2020-06-26 12:11:08,,1
24,,,,,,,Rudi Kristiyanto,,PT. MARAGA BORNEO TARIGAS,,(+62) 81345176000,," Jl. Alianyang Gg. Nusantara No. 37 A/b Rt 003, Rw 001, Kelurahan Jawa, Kecamatan Singkawang Tengah",,1.0,isbn,315000027.0,,,2,2019-03-25 13:17:40,2019-03-25 13:17:40,,1
25,,31.0,3174.0,3174010.0,3174010004.0,,Prisillia,,POLAKATA,,2129319331,,"Grand Aries Niaga G1/1L Jl. Taman Aries Niaga, Kembangan",,1.0,edep,,,public/files/pernyataan//polakata-pernyataan.pdf,2,2019-03-25 14:49:31,2019-03-25 14:49:31,,2
26,,,,,,,Liana Djajasusanto,,EGC,,(021)65306283,,Gedung Cv Egc Jl. Agung Timur 4 Blok O-1 No. 39 Sunter Agung Podomoro,,1.0,isbn,113000210.0,,,2,2019-03-25 15:59:48,2019-03-25 15:59:48,,2
27,,35.0,3579.0,3579010.0,3579010003.0,,Widya Citra Kirana,,CV. BETA AKSARA,,(0341)593473,,Beta Aksara Jl. Gajahmada Gg Belik Rt 4 Rw 9,,1.0,isbn,518000063.0,,,2,2019-03-25 21:03:28,2019-03-25 21:15:24,,1
28,,31.0,3172.0,3172090.0,3172090005.0,,Jumarni,,KENCANA,,(021)47864657,,Jl. Tambra Raya No. 23 Rawamangun Jakarta Timur,,1.0,isbn,312000535.0,,,2,2019-03-26 11:05:50,2021-02-01 09:00:10,,2
29,,32.0,3271.0,3271010.0,3271010016.0,,85719304622,2518485169,STP JURLUHKAN BOGOR,,2518485231,,Jalan Cikaret No. 2 Bogor Selatan ,,2.0,edep,,,public/files/pernyataan//stpjurluhkanbogor-pernyataan.pdf,2,2019-03-26 12:59:16,2019-03-26 12:59:16,,2
30,,35.0,3578.0,3578190.0,3578190004.0,,Moch. Abdan,,CV. KARUNIA,,(+62) 85100994195,, Jl. Peneleh No. 18,,1.0,isbn,1212000158.0,,,2,2019-03-26 13:58:15,2019-03-26 13:59:40,,1
31,,36.0,3674.0,3674030.0,3674030004.0,,"Drh. Ida Malati Sadjati, M.ed.",,UNIVERSITAS TERBUKA,,(+62) 217490941,,"Gedung Pusat Pengembangan Multi Media Jln. Cabe Raya, Pondok Cabe, Pamulang",,1.0,isbn,815000145.0,,,2,2019-03-27 10:08:09,2020-03-04 11:53:38,,2
32,,,,,,,Abdul Aziz,,KATAHATI,,(+62) 274488132,, Jl Anggrek No 126 Sambilegi Maguwoharjo Depok,,1.0,isbn,1212000133.0,,,2,2019-03-28 10:15:12,2019-03-28 10:15:12,,2
33,,34.0,3404.0,3404120.0,3404120005.0,,An Nuur Budi Utama,,DEEPUBLISH,,81390920909,,"Deepublish Jl. Elang 6 No.3 Drono, Sardonoharjo, Ngaglik",,1.0,isbn,412000170.0,,,2,2019-03-29 08:25:24,2019-03-29 08:47:52,,2
34,,31.0,3173.0,3173010.0,3173010001.0,,2153650110,,GRASINDO (GRAMEDIA WIDIA SARANA INDONESIA),,81224774732,,"Kompas Gramedia Building I Kompas Gramedia Building I, 3rd Floor
Jl Palmerah Barat 29-37
Jakarta 10270",,1.0,isbn,712000146.0,,,2,2019-03-29 08:48:34,2020-07-10 12:21:28,,2
35,,,,,,,Destalino. St,,SMK N 1 PAGUYAMAN PANTAI,,82194398901,,Smk N 1 Paguyaman Pantai Kebun Sari Desa Bubaa,,1.0,isbn,1117000157.0,,,2,2019-03-29 14:21:43,2019-03-29 14:21:43,,2
36,,,,,,,"Nurani Puspitasari, Dwi Kurniawati",,BENTANG PUSTAKA,,274889248,,"Gedung Bentang Pustaka Jln. Plemburan No. 1, Pogung Lor, RT 11 RW 48 SIA XV
",,1.0,isbn,712000083.0,,,2,2019-03-29 14:25:09,2019-03-29 14:25:09,,2
37,,,,,,,Salman Faridi,,BENTANG BELIA,,(0274) 889248,,"PT. Bentang Pustaka Jl. Plemburan No.1, Pogung Lor, Rt.11, Rw.48 Sia Xv, Sleman",,1.0,isbn,712000126.0,,,2,2019-03-29 14:30:48,2019-03-29 14:30:48,,2
