PUBLISHER_ID,TYPE_OF_PUBLISHER,PUBLISHER_NAME,ADDRESS1,ADDRESS2,ADDRESS3,CITY,REGION,PROVINCE,POS_CODE,PHONE1,PHONE2,PHONE3,FAX,EMAIL,CONTACT_PERSON,CONTACT_NO,COLLECTION_PER_YEAR,NOTE,IS_ACTIVE,CREATE_DATE_x,CREATE_BY,UPDATE_DATE,CREATE_TERMINAL,UPDATE_BY,UPDATE_TERMINAL,PUBLISHER_GROUP_ID,PUBLISHER_ORG_ID,PUBLISHER_ISBN_ID,admin_phone,PUBLISHER_GROUP_NAME
139,Swasta,Anak Kita,"Jl. H. Montong No. 57 Ciganjur, Jagakarsa",,JAKARTA,Jakarta Selatan ,D.09,D.09-DKI Jakarta,12630,021-78883030,,,021-7270996,redaksi@anakkita.co.id; sekretarisredaksi@mediakitagroup.com,,,,,1,2015-04-13,,2020-12-04,,,,6.0,,112001440,(+62) 2178883030,Agromedia Pustaka
128,Swasta,Kawan Kita,"Jl. H. Montong No. 57 Ciganjur, Jagakarsa","Jl. H. Montong No.57 Ciganjur, Jagakarsa, Jakarta Selatan 12630",Jakarta,Jakarta Selatan ,D.09,D.09-DKI Jakarta,12630,021-78883030,,,021-7270996,redaksikawankita@gmail.com; sekretarisredaksi@kawanpustakagroup.com,,,,,1,2015-04-14,,2020-12-04,,,,6.0,,715000024,(+62) 217-88830-30,Agromedia Pustaka
131,Swasta,C-Media,"Jl. H. Montong No. 57 Ciganjur, Jagakarsa",,JAKARTA,Jakarta Selatan ,D.09,D.09-DKI Jakarta,12630,021-78883030,,,021-7270996,redaksi@penerbitcmedia.com; sekretarisredaksi@kawanpustakagroup.com,,,,,1,2015-04-23,,2020-12-04,,,,6.0,,613000130,217707129,Agromedia Pustaka
137,Swasta,Enter Media,"Jl. H. Montong No. 57 Ciganjur, Jagakarsa",Jl. H. Montong No.57 Ciganjur,Jakarta,Jakarta Selatan ,D.09,D.09-DKI Jakarta,12630,021-78883030,,,021-7270996,entermediabook@gmail.com; sekretarisredaksi@gagasmediagroup.com,,,,,1,2015-04-08,,2020-12-04,,,,6.0,,1016000015,(+62) 2178883030,Agromedia Pustaka
129,Swasta,Linguakata,"Jl. Jemur Andayani XXI/18, Surabaya","Jl. H. Montong No.57 Ciganjur, Jagakarsa, Jakarta Selatan 12630",Jakarta,Surabaya,D.13,D.13-Jawa Timur,12630,031-8420787,,,031-8473164,redaksi_linguakata@yahoo.com; sekretarisredaksi@kawanpustakagroup.com,,,,,1,2015-04-08,,2020-12-04,,,,6.0,,113000077,217707129,Agromedia Pustaka
106,Swasta,M&C!,"Gedung Kompas Gramedia Jl. Palmerah Barat 29 - 37 Jakarta Pusat, 10270",,JAKARTA,Jakarta,D.09,D.09-DKI Jakarta,10270,021-53650110,,,,redaksi@m-c.gramediapublishers.com,,,,,1,2015-05-06,,2020-12-04,,,,3.0,,313000169,(+62) 2153650110,Kompas Gramedia Grup
107,Swasta,Bumi Aksara,"Jln. Sawo Raya No. 18, Rawamangun, Jakarta",,JAKARTA,Jakarta Timur ,D.09,D.09-DKI Jakarta,13220,021-4700988,,,021-4700989,"info@bumiaksara.com , abdul.hamid@bumiaksara.com , editorial.ptu@bumiaksara.com",,,,,1,,,2021-07-01,,199608182019020992,192.168.0.20,4.0,,912000115,82113191195,Bumi Aksara
680,Swasta,Sinar Grafika,Jl. Sawo Raya No. 18 Rawamangun Jakarta Timur,,JAKARTA,Jakarta,D.09,D.09-DKI Jakarta,13220,,,,,"info@bumiaksara.co.id , editorial.ptu@bumiaksara.com",,,,,0,,,2021-07-01,,199608182019020992,192.168.0.20,4.0,1.0,1114000101,82113191195,Bumi Aksara
914,Swasta,Bumi Medika,Jl. Sawo Raya No. 18 Jakarta,,JAKARTA,,D.09,D.09-DKI Jakarta,13220,,,,,riza.dwianingtyas@bumiaksara.com,,,,,0,2015-04-13,,2020-12-04,,,,4.0,1.0,514000080,82113191195,Bumi Aksara
482,Swasta,Cerdas Interaktif,"Perumahan Bukit Permai, Jalan Kerinci Blok A2, No. 23-24 Cibubur",,JAKARTA,Jakarta Timur,D.09,D.09-DKI Jakarta,13720,021-29617008,021-29617009,021-29617010,021-8721570,ps@penebar-swadaya.net; ps.penebarswadaya@gmail.com,,,,,0,2015-04-01,,2020-12-04,,,,90.0,1.0,816000087,(+62) 2129617008,Penebar Swadaya
986,Swasta,Griya Kreasi,"Perum. Bukit Permai, Jl. Kerinci Blok A2 No.23-24 Jakarta Timur",,JAKARTA,Jakarta Timur,D.09,D.09-DKI Jakarta,10610,,,,,ps.penebarswadaya@gmail.com,,,,,0,2015-04-16,,2020-12-04,,,,90.0,1.0,816000086,(+62) 2129617008,Penebar Swadaya
1451,Swasta,Raih Asa Sukses,Bukit Permai Jl. Kerinci Blok A2 No. 23-24 Cibubur,,JAKARTA,Jakarta,D.09,D.09-DKI Jakarta,13720,021-2917008,,,,ps@penebar-swadaya.net; ps.penebarswadaya@gmail.com,,,,,0,2015-05-08,,2020-12-04,,,,90.0,1.0,816000088,(+62) 2129617008,Penebar Swadaya
759,Swasta,STMIK Nusa Mandiri Jakarta,BSI,Jl. Kramat Raya No.18,Jakarta,,D.09,D.09-DKI Jakarta,10420,,,,,,,,,,1,2015-04-09,,2020-12-04,,,,250.0,2.0,615000090,(021)78839421,STMIK Nusa Mandiri Jakarta
803,Swasta,Universitas Trilogi,"Jl. Kampus Trilogi/Stekpi No. 1 Kalibata, Jakarta, 12760",,JAKARTA,Jakarta,D.09,D.09-DKI Jakarta,12760,(021)7980011,,,(021) 7981352,info@universitas-trilogi.ac.id,,,,,1,2015-06-23,,2020-12-04,,,,275.0,2.0,1113000110,217980011,Universitas Trilogi
956,Swasta,Salemba Humanika,Jl. eRaya lenteng Agung No. 101 Jagakarsa,Jl. Raya Lenteng Agung No 101 Jagakarsa,Jakarta,Jakarta Selatan,D.09,D.09-DKI Jakarta,12610,(021)7818616,,,,info@penerbitsalemba.com,,,,,0,2015-04-14,,2020-12-04,,,,348.0,1.0,1113000048,(+62) 217818616,Salemba Humanika
888,Swasta,Mizan Media Baru,"Jl. Anggrek No. 7c, Kebagusan Raya, Jakarta Selatan, 12520","Jl. Anggrek rt007, rw07, no.7c, Kebagusan",Jakarta,Jakarta Selatan,D.09,D.09-DKI Jakarta,12520,021-78833318,,,021-78833318,cs@mizan.com,,,,,1,2015-04-15,,2020-12-04,,,,10.0,1.0,714000048,78833318,Mizan Pustaka
181,Swasta,Curhat Anak Bangsa,Jl. Cinambo Cisaranten Wetan Bandung 40294,Jl. Cinambo No. 137 Cisaranten Wetan,Bandung,Bandung,D.10,D.10-Jawa Barat,40294,022-7834317,,,022-7834316,,Rista Marsulaini,022-7834317,,,1,2016-11-15,,2020-12-04,,,,10.0,,113000068,(+62) 227834317,Mizan Pustaka
749,Swasta,Curhat Anak Bangsa,Cinambo (Cisaranten Wetan) No. 146 Ujungberung,Jl. Cinambo No. 137 Cisaranten Wetan,Bandung,Bandung,D.10,D.10-Jawa Barat,40294,022-7815500,,,022-7802288,mizanmu@bdg.centrin.net.id,,,,,0,2015-04-09,,,,,,10.0,1.0,113000068,(+62) 227834317,Mizan Pustaka
462,Swasta,Muffin Graphics,"Jln. Cinambo No. 146 Cisaranten Wetan, Ujungberung, Bandung 40294",,BANDUNG,Bandung,D.10,D.10-Jawa Barat,40294,022-7815500,,,022-7834244,redaksi@muffingraphics.com; info@muffingraphics.com,,,,,0,2015-03-31,,2020-12-04,,,,10.0,1.0,812000057,(+62) 227834317,Mizan Pustaka
687,Swasta,Pelangi Mizan,"Jln. Cinambo No. 137, Ujungberung, Bandung",,BANDUNG,Bandung,D.10,D.10-Jawa Barat,40294,62-22-7834166,,,62-22-7834316,pelangi@mizan.com,,,,,1,2015-04-08,,2020-12-04,,,,10.0,1.0,313000043,(+62) 227834310,Mizan Pustaka
