catalog_id,collection_id,title,noinduk_deposit,publishlocation,tag_090
883643,1106987,"Jio / Seishi Kishimoto ; alih bahasa, Milianti ; editor, Hyasinta",,"Jakarta :","CB-D.9 2010-8788(5)/4347-2012; ..(6)/5525-2012; ..(18)/4528-2009 ; 4283-2012 ; 2011-1890/6361-2011 ; 2009-.../5361-2011 ; 2009-.../3691-2011 ; 2010- /3789-2011 (8) ; 4131-2012 (8) ; 4132-2012 (9) ; 4133-2012 (10) ; 4134-2012 (17) ; 2010-9733(4) ; 2010-9605 (8)"
881111,1105120,"Demon sacred / Natsumi Itsuki ; alih bahasa, Eka Fithry Handayani; editor Tara",,"Jakarta :","CB-D.9 2014-3631(1)/9217-2014; 2014-3631(9)/9217-2014; 2014-578(4)/2868-2014 ; 2014-357/3667-2014 ; CB-D.9 2014-1192/4872-2014; ...(2)/2898-2012; 2014-3631(10)/9218-2014; 2014-3571(11)/9039-2014"
873321,1087707,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087708,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087709,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087710,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087711,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087712,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087713,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087714,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
877805,1095612,"Highschool of the dead / Daisuke Sato ; alih bahasa, Ninuk Sulistyawati ; editor, Ellen",,"Jakarta :","CB-D.9 2014-3516/8358-2014 ; 2014-1179/4859-2014; 2013-2443(2)/6414-2013 ; 2014-282/1792-2014 ; 2013-1555/4765-2013"
877658,1095351,"Iliad / Uoto Osamu, Toshusai Garaku ; alih bahasa, Isao Arif ; editor, Jessika",,"Jakarta :","CB-D.9 2013-8430/8222-2014; 09-4336(1); 4685-2012(2) ; 9473-2012 ; 2011-1786/5969-2011 ; 2011-2207/6823-2011; ../4435(6)-2011; 2011-10573/184(8)-2012; ../2299(9)-2012; ../7250(11)-2012; ../2013-621/2157(13)-2013; 2013-2458/6429(15)-2013; ../5400(2)-2011; ../2875(10)-2012"
877658,1095352,"Iliad / Uoto Osamu, Toshusai Garaku ; alih bahasa, Isao Arif ; editor, Jessika",,"Jakarta :","CB-D.9 2013-8430/8222-2014; 09-4336(1); 4685-2012(2) ; 9473-2012 ; 2011-1786/5969-2011 ; 2011-2207/6823-2011; ../4435(6)-2011; 2011-10573/184(8)-2012; ../2299(9)-2012; ../7250(11)-2012; ../2013-621/2157(13)-2013; 2013-2458/6429(15)-2013; ../5400(2)-2011; ../2875(10)-2012"
877094,1094444,"Alice academy / Tachibana Higuchi ; alih bahasa, Nein ; edito, Siti Aminingsih",,"Jakarta :","CB-D.9 2013-8359(25)/8203-2014 ; 2013-8359(21)/3913-2013 ; 2013-4778(27)/9247-2013 ; 2013-8359(24)/5768-2013 ; 2013-1933/5680-2013"
877094,1097684,"Alice academy / Tachibana Higuchi ; alih bahasa, Nein ; edito, Siti Aminingsih",,"Jakarta :","CB-D.9 2013-8359(25)/8203-2014 ; 2013-8359(21)/3913-2013 ; 2013-4778(27)/9247-2013 ; 2013-8359(24)/5768-2013 ; 2013-1933/5680-2013"
876574,1095053,"Arata / Yuu Watase ; alih bahasa, Yenny Hendrawati ; editor, Faizal",,"Jakarta :","CB-D.9 2013-8336(3)/8215-2014 ; 2013-8336(7)/7829-2014 ; 2013-5133(9)/10152-2013 ; 2013-1378(4)/4627-2013 ; 2013-202/2010-2013 (1) ; 2013-4960/9429-2013 (8). 2013-436/2996-2013 (2)"
876574,1095054,"Arata / Yuu Watase ; alih bahasa, Yenny Hendrawati ; editor, Faizal",,"Jakarta :","CB-D.9 2013-8336(3)/8215-2014 ; 2013-8336(7)/7829-2014 ; 2013-5133(9)/10152-2013 ; 2013-1378(4)/4627-2013 ; 2013-202/2010-2013 (1) ; 2013-4960/9429-2013 (8). 2013-436/2996-2013 (2)"
876574,1093359,"Arata / Yuu Watase ; alih bahasa, Yenny Hendrawati ; editor, Faizal",,"Jakarta :","CB-D.9 2013-8336(3)/8215-2014 ; 2013-8336(7)/7829-2014 ; 2013-5133(9)/10152-2013 ; 2013-1378(4)/4627-2013 ; 2013-202/2010-2013 (1) ; 2013-4960/9429-2013 (8). 2013-436/2996-2013 (2)"
876574,1093360,"Arata / Yuu Watase ; alih bahasa, Yenny Hendrawati ; editor, Faizal",,"Jakarta :","CB-D.9 2013-8336(3)/8215-2014 ; 2013-8336(7)/7829-2014 ; 2013-5133(9)/10152-2013 ; 2013-1378(4)/4627-2013 ; 2013-202/2010-2013 (1) ; 2013-4960/9429-2013 (8). 2013-436/2996-2013 (2)"
877094,1096266,"Alice academy / Tachibana Higuchi ; alih bahasa, Nein ; edito, Siti Aminingsih",,"Jakarta :","CB-D.9 2013-8359(25)/8203-2014 ; 2013-8359(21)/3913-2013 ; 2013-4778(27)/9247-2013 ; 2013-8359(24)/5768-2013 ; 2013-1933/5680-2013"
878796,1097359,"Aoba bicycle shop/ Gaku Miyao ; alih bahasa, Nein ; editor, Sari",,"Jakarta :","CB-D.9 2013-8434(10)/441-2013 ; 2013-4777(13)/9246-2013; 2013-2101/5920-2013; 2013-3738(11)/2144-2013"
877094,1097369,"Alice academy / Tachibana Higuchi ; alih bahasa, Nein ; edito, Siti Aminingsih",,"Jakarta :","CB-D.9 2013-8359(25)/8203-2014 ; 2013-8359(21)/3913-2013 ; 2013-4778(27)/9247-2013 ; 2013-8359(24)/5768-2013 ; 2013-1933/5680-2013"
