catalog_id,collection_id,title,noinduk_deposit,publishlocation,tag_090
239944,21897,"Hubungan antara berpikir logis dan gaya kognitif dengan kemampuan menyelesaikan soal cerita aljabar siswa kelas II A2 SMA Negeri di Kotamadya Samarinda / oleh PM Labulan.",,"Malang :","CB-D.13 95-4575"
4931,59340,"Studi ekonomi media : Membaca selera pemirsa masyarakat televisi denpasar / Oleh : Ni Made Ras Amanda G.",,2005,"CB[G]-D.9 05-1160"
254870,58169,"Persepsi tentang kompetensi dan motivasi kerja pegawai pada unit pelayanan kesehatan terhadap kepuasan pelayanan kesehatan pegawai Sekretariat Jenderal DPR RI / Damayanti",,,"CB[G]-D.9 05-1192"
209875,58184,"Imoplementasi kebijakan linkukngan di Gresik : studi implementasi kebijakan lingkungan dalam kaitannya dengan pencemaran limbah Industri / Amelia Ernawati Tucunan",,,"CB[G]-D.13 96-402"
20280,57030,"Pengaruh efektivitas komunikasi interpersonal dan kepemimpinan terhadap kinerja pemeriksa paten pada direktorat jenderal hak kekayaan intelektual / oleh Ira Deviani / oleh Ira Deviani",,,"CB [G] - D.9 05-1036"
149369,65325,"Analisis kepuasan pengunjung Puskesmas dalam pelayanan kesehatan gratis di Puskesmas Glugur Darat dan Darussalam Kota Medan tahun 2005 / diajukan oleh Nurmansyah",,,"CB [G] - D.9 05-1357"
146739,65778,"kebijakan luar negeri Jerman terhadap bergabungnya Polandia ke dalam Uni Eropa (1991-1994) / oleh, Agung Apriyono",,,"CB[G]-D.10 06-30"
46529,59546,"faktor lingkungan yang berperan terhadap terjadinya tuberkulosis paru / Oleh : I. Nengah Darna",,,"CB [G] - D.13 93-2467/2268-94"
31237,59933,"Kinerja petugas pemasyarakatan dalam proses pembinaan dan perlindungan hak asasi manusia terhadap terpidana kasus narkoba : pada lembaga pemasyarakatan khusus narkotika Cirebon / disusun oleh, Jalu Yuswa Panjang",,,"CB [G] - D.9 05-2048"
17999,63677,"Pengaruh nilai-nilai kerja terhadap stress petugas rumah tahanan negara : studi pada rumah tahanan Negara kelas II B Rangkasbelitung",,"Jakarta ;","CB[G]-D.9 05 -2005"
149180,64706,"Efektivitas model jaring hubungan makna kata dalam pembelajaran kosakata di Sekolah Dasar / oleh, Winihasih",,,"CB [G] - D.13 97-249"
40816,64138,"Strategi politik pks dalam menghadapi pemilu 2004 di Kotamadya Jakarta Timur / oleh Suharto",,,"CB [G] - D.9 05-1324"
147298,66650,"Sanksi pidana perpajakan Indonesia dan implikasinya kepada kepatuhan wajib pajak / oleh, Abdurrahman Nurhadi",,,"CB[G]-D.9 06-82"
6480,65908,"Peran badan keswadayaan masyarakat sebagai organisasi pendamping dalam pelaksanaan proyek penanggulangan kemiskinan di perkotaan di kecamatan Tanah Sareal Kota Bogor : studi evaluasi peran organisasi lokal dalam pelaksanaan proyek penanggulangan kemiskinan di perkotaan / oleh David Ondowafo",,,"CB [G] - D.10 04-471"
200521,74692,"Analisis pengaruh stres kerja terhadap kejadian abortus spontan pada pekerja di pabrik sepatu X, Tangerang / oleh: Jurika Chrisna",,,"CB[G]-D.9 05-152"
168045,78045,"Dampak sosial kebijakan Pemda DKI Jakarta tentang Relokasi pedagang kaki lima di lokasi binaan (Studi kasus dilokasi binaan Paal Merah Jakarta Pusat / Suryantika Sinaga",,,"CB[G]-D.10 04-825"
189702,74244,"Penelitian Eksprimental Laboratorik / Rosmanida",,,"CB[G]-D.13 97-169"
139226,81367,"Studi mengenai antibodi antisperma dalam sperma dan serum darah dengan uji mar pada pria pasangan infertil / Susanto Suryaatmaja",,"Surabaya :","CB-D.13 90-1065"
26514,104867,"Pengaruh ekstrak biji kapas (Gossypium hirsutum) terhadap fertilitas dan perkembangan embrio mencit (Mus musculus) betina : penelitian eksperimental laboratorik / Ikhwan",,,"CB[G]-D.13 97-160"
117474,115194,"Strategi penggunaan media dan pengaruhnya pada sikap pekerja terhadap penyelenggaraan program perlinduangan sosial tenaga kerja / oleh: Ismail",,,"CB[G]-D.9 05-1980"
63420,132238,"Aku tahun tentang sungai / Beni S. Ambarjaya ; editor, Muhammad Habibie ; desain sampul, Anto Budi",,"Solo :","CB-D.12 2010-1293"
8281,128263,"5 relationship, success & happiness / Hengki Irawan Setia Budi",,"Jakarta :","CB-D.9 2011-633/2669-2011"
209022,135777,"Variasi genetik virus dengue tipe 3 / oleh, Muhareva Raekiansyah",,,"CB[G]-D.9 04-274"
50369,136358,"pete kompetensi pegawai dan kebutuhan pelatihan dan pengembangan sdm berdasarkan persepsi pegawai : studi pada sekretariat Badan Penelitian dan Pengembangan Pertanian / oleh Bekti Subagja",,,"CB [G] - D.9 05-2280"
200520,146871,"Hubungan antara stresor kerja dengan keluhan nyeri haid yang memerlukan pengobatan pada pekerja pabrik sepatu PT 'H' di Tangerang / oleh: Ratna Nurlely Silaen",,,"CB[G]-D.9 04-284"
196571,144184,"Realisasi prinsip kerjasama dalam acara sidang di pengadilan / Jumadi",,2001,"CB [G] - D.13 01-25"
128529,143479,"Hubungan sosial warga masyarakat lokal dengan warga masyarakat transmigran : Studi tentang perubahan taraf hidup pada warga masyarakat lokal dan masyarakat transmigran di Kabupaten Kendari Sulawesi Tenggara / Anna Susanti",,1998,"CB[G]-D.13 98-228"
50368,142416,"Model perilaku konsumen ikan hias air tawar di daerah Jakarta / oleh Rukmo Rahadi",,,"CB [G] - D.9 05-2278"
165496,153058,"Kebijakan bantuan Luar NegeriJepang kepada Indonesia : Studi tentang Oda Jepang kepada Indonesia pada masa krisis Ekonomi (1997-1999) / Maya Fitriana",,,"CB[G]-D.9 04-966"
189703,153857,"Pendekatan Cross sectional / Ali Yusran",,,"CB[G]-D.13 97-212"
43781,151744,"Ancaman China terhadap dominasi ekonomi politik Jepang di ASEAN (periode 1999-2004) / oleh, Syahrul Salam",,,"CB[G]-D.9 06-21"
25943,148401,"Gerakan perempuan dan perubahan sosial : Studi terhadap gerakan perempuan usaha mikro dalam menarasikan identitas diri sebagai perempuan warga masyarakat dan warga negara / oleh, Sri Harjanti Widyastuti",,,"CB [G] - D.10 05-2068"
155837,147718,"Peranan kepemimpinan dan motivasi terhadap kinerja pemeriksa paten di Direktorat Paten Direktorat Jenderal Hak kekayaan intelektual Deaprtemen Hukum dan Hak Asasi Manusia RI / oleh, Budi Prakoso",,2005,"CB [G] - D.9 05-1395"
163725,154928,"Permasalahan permohonan restitusi pajak pertambahan nilai (Studi kasus PT Yamaha Indonesia) / Narti Eka Putri",,,"CB[G]-D.9 04-697"
266970,198109,"Hubungan antara tingkat pengetahuan dan sikap tokoh masyarakat tentang Program Keluarga Berencana dengan intensitas keterlibatan mereka dalam kegiatan Program Keluarga Berencana di Kecamatan Sooko Kabupaten Mojokerto / oleh Choirul Bashor",,"Malang :","CB-D. 13 94-648/1949-94"
18837,203093,"Hubungan antara kadar seng plasma dengan infeksi virus sitomegalus pada ibu hamil / oleh: Dermawan Claudina Nadeak",,,"CB[G]-D.9 03-9"
